	1	2	3	4	5	6	7	8	9	10	11	12
A	229.WT in Glu 0.6%	229.WT in Glu 1%	229.WT in Glu 0.8%	409.Hxt4 in Glu 0.6%	409.Hxt4 in Glu 1%	409.Hxt4 in Glu 0.8%	403.Hxt4std1 in Glu 0.6%	403.Hxt4std1 in Glu 1%	403.Hxt4std1 in Glu 0.8%	506.Hxt4rgt2 in Glu 0.6%	506.Hxt4rgt2 in Glu 1%	506.Hxt4rgt2 in Glu 0.8%
B	229.WT in Glu 0.6%	229.WT in Glu 1%	229.WT in Glu 0.8%	409.Hxt4 in Glu 0.6%	409.Hxt4 in Glu 1%	409.Hxt4 in Glu 0.8%	403.Hxt4std1 in Glu 0.6%	403.Hxt4std1 in Glu 1%	403.Hxt4std1 in Glu 0.8%	506.Hxt4rgt2 in Glu 0.6%	506.Hxt4rgt2 in Glu 1%	506.Hxt4rgt2 in Glu 0.8%
C	229.WT in Glu 0.6%	229.WT in Glu 1%	229.WT in Glu 0.8%	409.Hxt4 in Glu 0.6%	409.Hxt4 in Glu 1%	409.Hxt4 in Glu 0.8%	403.Hxt4std1 in Glu 0.6%	403.Hxt4std1 in Glu 1%	403.Hxt4std1 in Glu 0.8%	506.Hxt4rgt2  in Glu 0.6%	506.Hxt4rgt2 in Glu 1%	506.Hxt4rgt2 in Glu 0.8%
D	229.WT in Glu 0.6%	229.WT in Glu 1%	229.WT in Glu 0.8%	409.Hxt4 in Glu 0.6%	409.Hxt4 in Glu 1%	409.Hxt4 in Glu 0.8%	403.Hxt4std1 in Glu 0.6%	403.Hxt4std1 in Glu 1%	403.Hxt4std1 in Glu 0.8%	506.Hxt4rgt2  in Glu 0.6%	506.Hxt4rgt2 in Glu 1%	506.Hxt4rgt2 in Glu 0.8%
E	229.WT in Glu 0.6%	229.WT in Glu 1%	229.WT in Glu 0.8%	409.Hxt4 in Glu 0.6%	409.Hxt4 in Glu 1%	409.Hxt4 in Glu 0.8%	403.Hxt4std1 in Glu 0.6%	403.Hxt4std1 in Glu 1%	403.Hxt4std1 in Glu 0.8%	506.Hxt4rgt2  in Glu 0.6%	506.Hxt4rgt2 in Glu 1%	506.Hxt4rgt2 in Glu 0.8%
F	229.WT in Glu 0.6%	229.WT in Glu 1%	229.WT in Glu 0.8%	409.Hxt4 in Glu 0.6%	409.Hxt4 in Glu 1%	409.Hxt4 in Glu 0.8%	403.Hxt4std1 in Glu 0.6%	403.Hxt4std1 in Glu 1%	403.Hxt4std1 in Glu 0.8%	506.Hxt4rgt2  in Glu 0.6%	506.Hxt4rgt2 in Glu 1%	506.Hxt4rgt2 in Glu 0.8%
G	229.WT in Glu 0.6%	229.WT in Glu 1%	229.WT in Glu 0.8%	409.Hxt4 in Glu 0.6%	409.Hxt4 in Glu 1%	409.Hxt4 in Glu 0.8%	403.Hxt4std1 in Glu 0.6%	403.Hxt4std1 in Glu 1%	403.Hxt4std1 in Glu 0.8%	506.Hxt4rgt2  in Glu 0.6%	506.Hxt4rgt2 in Glu 1%	506.Hxt4rgt2 in Glu 0.8%
H	null in Glu 0.6%	null in Glu 1%	null in Glu 0.8%	null in Glu 0.6%	null in Glu 1%	null in Glu 0.8%	null in Glu 0.6%	null in Glu 1%	null in Glu 0.8%	null in Glu 0.6%	null in Glu 1%	null in Glu 0.8%
												
												
Date	01/07/2016											
Aim	"characterize expression/growth differences for 409 (Hxt4-yEGFP), 403 (Hxt4-yEGFP std1Æ), and 506 (Hxt4-YEGFP rgt2Æ 1.2)"											
User	Luis											
Comments	"cells were grown for 24 hrs in LFSC 2% glucose inocculating from an xy plate. Then they were washed 1/6 with ddH20 and spun down, then resuspended in ~6 ml LFSC "											
